"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"1279"	0	4	16	64	0	0	0	1	0	1	0	0	0	1	19	361	0	0	0	0
"1280"	1	2	4	8	1	0	0	0	1	0	0	0	0	1	19	361	0	0	0	0
"1281"	0	11	121	1331	0	0	0	1	0	0	0	0	0	1	28	784	0	1	0	0
"1282"	1	10	100	1000	1	0	1	0	0	0	0	1	0	0	32	1024	0	0	0	0
"1283"	0	12	144	1728	1	0	1	0	0	0	0	1	0	0	32	1024	0	0	0	0
"1284"	0	11	121	1331	0	0	0	0	0	0	0	1	0	0	32	1024	0	0	0	0
"1285"	0	3	9	27	0	0	1	0	0	0	0	0	0	1	22	484	1	1	0	0
"1286"	0	2	4	8	1	0	0	1	0	0	0	1	0	0	18	324	0	0	0	0
"1287"	1	5	25	125	1	0	0	1	0	1	0	1	0	0	18	324	0	0	0	0
"1288"	0	8	64	512	1	0	0	1	0	1	0	1	0	0	18	324	0	0	0	0
"1289"	0	13	169	2197	1	0	1	0	0	0	0	0	1	0	32	1024	0	0	0	0
"1290"	1	2	4	8	1	0	1	0	0	1	0	0	1	0	32	1024	0	0	0	0
"1291"	1	5	25	125	0	0	1	0	0	0	0	0	0	1	28	784	0	0	1	0
"1292"	0	2	4	8	0	0	1	0	0	0	0	0	0	1	28	784	0	0	1	0
"1293"	1	12	144	1728	0	0	1	0	0	1	0	0	0	0	32	1024	0	0	0	0
"1294"	0	1	1	1	0	0	1	0	0	0	0	1	0	1	26	676	0	0	0	0
"1295"	1	4	16	64	1	0	0	0	0	1	0	0	0	1	24	576	0	0	0	0
"1296"	0	0	0	0	1	0	0	0	1	0	0	0	0	1	24	576	0	0	0	0
"1297"	0	7	49	343	1	0	0	0	0	0	0	0	0	1	24	576	0	0	0	0
"1298"	1	10	100	1000	0	0	0	0	0	0	0	0	0	1	24	576	0	0	0	0
"1299"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	576	0	0	0	0
"1300"	1	15	225	3375	0	0	0	1	0	0	0	0	0	1	21	441	0	0	0	0
"1301"	0	11	121	1331	0	0	0	0	0	0	0	0	0	1	21	441	0	0	0	0
"1302"	1	15	225	3375	0	0	0	0	0	0	0	0	0	1	21	441	0	0	0	0
"1303"	1	11	121	1331	0	0	0	0	0	1	0	0	0	1	21	441	0	0	0	0
"1304"	0	5	25	125	0	0	0	0	0	0	0	0	0	1	21	441	0	0	0	0
"1305"	1	7	49	343	0	0	0	0	0	1	0	0	0	1	21	441	0	0	0	0
"1306"	0	4	16	64	0	0	0	0	0	0	0	0	0	1	21	441	0	0	0	0
"1307"	0	5	25	125	0	0	1	0	0	0	0	0	0	1	36	1296	0	1	0	0
"1308"	0	1	1	1	0	0	0	0	0	0	0	0	0	1	23	529	0	0	0	0
